date,platform,campaign,account_id,spend,clicks,impressions,conversions,revenue
2026-05-01,Meta,Spring Sale,ACT-001,120.00,340,12000,18,720.00
2026-05-02,Meta,Spring Sale,ACT-001,150.00,390,15000,21,840.00
2026-05-03,Meta,Spring Sale,ACT-001,155.00,410,16000,22,910.00
2026-05-04,Meta,Spring Sale,ACT-001,0.00,0,0,0,0.00
2026-05-05,Meta,Spring Sale,ACT-001,165.00,430,17000,25,1000.00
2026-05-01,Meta,Retargeting,ACT-002,80.00,210,8500,15,600.00
2026-05-02,Meta,Retargeting,ACT-002,85.00,225,9000,16,640.00
2026-05-03,Meta,Retargeting,ACT-002,88.00,230,9200,17,680.00
2026-05-04,Meta,Retargeting,ACT-002,90.00,235,9400,18,720.00
2026-05-05,Meta,Retargeting,ACT-002,92.00,240,9500,18,730.00
