date,platform,campaign,spend,clicks,impressions,ctr,cpc,cpm
2026-05-01,Meta,Spring Sale,120.0,340,12000,2.83,0.35,10.0
2026-05-02,Meta,Spring Sale,150.0,390,15000,2.6,0.38,10.0
2026-05-03,Meta,Spring Sale,155.0,410,16000,2.56,0.38,9.69
2026-05-05,Meta,Spring Sale,165.0,430,17000,2.53,0.38,9.71
2026-05-01,Meta,Retargeting,80.0,210,8500,2.47,0.38,9.41
2026-05-02,Meta,Retargeting,85.0,225,9000,2.5,0.38,9.44
2026-05-03,Meta,Retargeting,88.0,230,9200,2.5,0.38,9.57
2026-05-04,Meta,Retargeting,90.0,235,9400,2.5,0.38,9.57
2026-05-05,Meta,Retargeting,92.0,240,9500,2.53,0.38,9.68
2026-05-01,TikTok,Video Awareness,90.0,600,45000,1.33,0.15,2.0
2026-05-02,TikTok,Video Awareness,95.0,650,48000,1.35,0.15,1.98
2026-05-03,TikTok,Video Awareness,100.0,670,50000,1.34,0.15,2.0
2026-05-04,TikTok,Video Awareness,18.0,120,9000,1.33,0.15,2.0
2026-05-05,TikTok,Video Awareness,105.0,700,52000,1.35,0.15,2.02
